V1.00
126
10
PrePopulate

level|~|sequence|~|quantity|~|parent|~|partno|~|unit|~|description|~|revision|~|category|~|source
1|~|72|~|1|~|RAW MATERIALS|~|1071|~|SF|~|20 GA SS|~||~||~|J
1|~|73|~|1|~|RAW MATERIALS|~|1072|~|SF|~|Plate 3/16"Thk, SA-36|~||~||~|P
1|~|74|~|1|~|RAW MATERIALS|~|1073|~|SF|~|3/16" Thk HRS|~||~||~|J
1|~|75|~|1|~|RAW MATERIALS|~|1074|~|SF|~|11 GA HRS|~||~||~|P
1|~|76|~|1|~|RAW MATERIALS|~|1075|~|SF|~|18 GA HRS|~||~||~|J
1|~|77|~|1|~|RAW MATERIALS|~|1076|~|SF|~|20 GA HRS|~||~||~|P
1|~|78|~|1|~|RAW MATERIALS|~|1077|~|SF|~|24 GA HRS|~||~||~|J
1|~|79|~|1|~|RAW MATERIALS|~|1078|~|FT|~|CERAMIC ROPE 3/8" SQUARE 2300F|~||~||~|P
1|~|80|~|1|~|RAW MATERIALS|~|1079|~|SF|~|DURABLANKET-S 2"Thk|~||~||~|P
1|~|81|~|1|~|RAW MATERIALS|~|1080|~|EA|~|FSK Blanket, 2"Th x 4FT x 75Ft|~||~||~|P
1|~|82|~|1|~|RAW MATERIALS|~|1081|~|EA|~|GEMCOWOOL, 2300F, 42"x72"x1"|~||~||~|P
1|~|83|~|1|~|RAW MATERIALS|~|1082|~|SF|~|1/2" Thk M-BOARD|~||~||~|P
1|~|84|~|1|~|RAW MATERIALS|~|1083|~|SF|~|1" Thk M-BOARD|~||~||~|P
1|~|85|~|1|~|RAW MATERIALS|~|1084|~|SF|~|3/4" DUCT INSULATION|~||~||~|P
1|~|86|~|1|~|RAW MATERIALS|~|1085|~|EA|~|2" NPT Iron Threaded Cap, #150|~||~||~|P
1|~|87|~|1|~|RAW MATERIALS|~|1086|~|EA|~|1-1/4" THREADED NIPPLE, SA53-B|~||~||~|P
1|~|88|~|1|~|RAW MATERIALS|~|1087|~|Lb|~|PLICAST AIRLITE|~||~||~|P
1|~|89|~|1|~|RAW MATERIALS|~|1088|~|Lb|~|PLICAST LWI 28|~||~||~|P
1|~|90|~|1|~|RAW MATERIALS|~|1089|~|Lb|~|PLICAST TUFF MIX|~||~||~|P
1|~|91|~|1|~|RAW MATERIALS|~|1090|~|SF|~|STL PERF SHEET 16GA 3/16" DIA|~||~||~|P
1|~|92|~|1|~|RAW MATERIALS|~|1091|~|FT|~|Structural Channel, C4 x 6.25|~||~||~|P
1|~|93|~|1|~|RAW MATERIALS|~|1092|~|FT|~|Structural Channel, C6 x 8.2|~||~||~|P
1|~|94|~|1|~|RAW MATERIALS|~|1093|~|FT|~|2"x 2"x 3/8" Steel Angle, SA36|~||~||~|P
1|~|95|~|1|~|RAW MATERIALS|~|1094|~|FT|~|Tacky Tadpole Tape, 1"W|~||~||~|P
1|~|96|~|1|~|RAW MATERIALS|~|1095|~|EA|~|WetPac, 2300F 24" x 36" x 3/8"|~||~||~|J
1|~|97|~|1|~|RAW MATERIALS|~|1096|~|FT|~|DURABLANKET-S 1"Thk X 24" W|~||~||~|P
1|~|98|~|1|~|RAW MATERIALS|~|1097|~|FT|~|BN 1550-14 36"x3/16"Th SA516|~||~||~|J
1|~|99|~|1|~|RAW MATERIALS|~|1098|~|FT|~|BNP 1984-05A 24"x1/4"Th SA516|~||~||~|J
1|~|100|~|1|~|RAW MATERIALS|~|1099|~|FT|~|BNP 1779-01E 30"x1/4"Th SA516|~||~||~|J
1|~|101|~|1|~|RAW MATERIALS|~|1100|~|FT|~|BNP 1779-01F 36"x1/4"Th SA516|~||~||~|J
1|~|102|~|1|~|RAW MATERIALS|~|1101|~|FT|~|BN 2177-01B 42"x1/4"Th SA516|~||~||~|J
1|~|103|~|1|~|RAW MATERIALS|~|1102|~|FT|~|BN 1909-22A 54"x1/4"Th SA516|~||~||~|J
1|~|104|~|1|~|RAW MATERIALS|~|1103|~|FT|~|BN 1779-13A 48"x5/16"Th SA516|~||~||~|J
1|~|105|~|1|~|RAW MATERIALS|~|1104|~|FT|~|BNP 1779-14A 54"x5/16"Th SA516|~||~||~|J
1|~|106|~|1|~|RAW MATERIALS|~|1105|~|FT|~|BN 1779-15A 60"x5/16"Th SA516|~||~||~|J
1|~|107|~|1|~|RAW MATERIALS|~|1106|~|FT|~|BN 2233-08A 66"x5/16"Th SA516|~||~||~|J
1|~|108|~|1|~|RAW MATERIALS|~|1107|~|FT|~|BN 2233-05A 66"x3/8"Th SA516|~||~||~|J
1|~|109|~|1|~|RAW MATERIALS|~|1108|~|FT|~|BN 2233-02A 72"x3/8"Th SA516|~||~||~|J
1|~|110|~|1|~|RAW MATERIALS|~|1109|~|FT|~|BN 2112-02A 60"x3/8"Th SA516|~||~||~|J
1|~|111|~|1|~|RAW MATERIALS|~|1110|~|FT|~|BNP 1880-01 72"x1/2"Th SA516|~||~||~|J
1|~|112|~|1|~|RAW MATERIALS|~|1111|~|FT|~|BNP 1880-02 84"x1/2"Th SA516|~||~||~|J
1|~|113|~|1|~|RAW MATERIALS|~|1112|~|FT|~|BNP 1880-03 96"x1/2"Th SA516|~||~||~|J
1|~|114|~|1|~|RAW MATERIALS|~|1113|~|FT|~|BNP 1880-04 96"x5/8"Th SA516|~||~||~|J
1|~|115|~|1|~|RAW MATERIALS|~|1114|~|FT|~|BNP 1983-17B 30"x3/16"Th SA414|~||~||~|J
1|~|116|~|1|~|RAW MATERIALS|~|1115|~|FT|~|BNP 1984-05B 24"x1/4"ThSA414|~||~||~|J
1|~|117|~|1|~|RAW MATERIALS|~|1116|~|FT|~|BNP 1779-01EX 30"x1/4"Th SA414|~||~||~|J
1|~|118|~|1|~|RAW MATERIALS|~|1117|~|FT|~|BN 2259-09A 30"x1/4"Th SA414|~||~||~|J
1|~|119|~|1|~|RAW MATERIALS|~|1118|~|FT|~|BN 1779-01FX 36"x1/4"Th SA414|~||~||~|J
1|~|120|~|1|~|RAW MATERIALS|~|1119|~|FT|~|BN 2177-01A 42"x1/4"Th A1011SS|~||~||~|J
1|~|121|~|1|~|RAW MATERIALS|~|1120|~|FT|~|BN 2112-05A 48"x1/4"Th SA414|~||~||~|J
1|~|122|~|1|~|RAW MATERIALS|~|1121|~|EA|~|48X13 7/8XX1/2 WOOL BRD|~||~||~|P
1|~|123|~|1|~|RAW MATERIALS|~|1122|~|FT|~|FIBERGLASS TAPE 1/8"X1-1/2"|~||~||~|P
1|~|124|~|1|~|RAW MATERIALS|~|1123|~|FT|~|1-1/2" NPS XXH SMLS SA106 GR.B|~||~||~|P
1|~|125|~|1|~|RAW MATERIALS|~|1124|~|Lb|~|PLICAST SUPERFAB|~||~||~|P
